scenario_id,scenario_name,game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
S1,Capitation reweighting only,G14,Data observability game,system_welfare,marginal_contact_benefit,0.3165,0.3165,positive,2.0
S1,Capitation reweighting only,G14,Data observability game,system_welfare,equity_program_strength,0.1764,0.1764,positive,3.0
S1,Capitation reweighting only,G14,Data observability game,system_welfare,direct_claiming,0.1573,0.1573,positive,4.0
S1,Capitation reweighting only,G14,Data observability game,system_welfare,gaming_controls,0.1382,0.1382,positive,5.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,system_welfare,marginal_contact_benefit,0.5536,0.5536,positive,1.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,system_welfare,data_observability,0.5324,0.5324,positive,2.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,system_welfare,equity_program_strength,0.3465,0.3465,positive,3.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,system_welfare,primary_kpi_salience,0.2929,0.2929,positive,4.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,system_welfare,ambulance_kpi_salience,0.2788,0.2788,positive,5.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,system_welfare,marginal_contact_benefit,0.7728,0.7728,positive,1.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,system_welfare,capitation_weighting,0.3983,0.3983,positive,2.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,system_welfare,copayment_protections,0.2619,0.2619,positive,3.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,system_welfare,copayment_level,0.249,0.249,positive,4.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,system_welfare,equity_program_strength,0.1595,0.1595,positive,5.0
S1,Capitation reweighting only,G4,Consumer access pathway game,system_welfare,copayment_level,-0.72,0.72,negative,1.0
S1,Capitation reweighting only,G4,Consumer access pathway game,system_welfare,copayment_protections,0.4488,0.4488,positive,2.0
S1,Capitation reweighting only,G4,Consumer access pathway game,system_welfare,marginal_contact_benefit,0.3846,0.3846,positive,3.0
S1,Capitation reweighting only,G4,Consumer access pathway game,system_welfare,gaming_controls,0.1771,0.1771,positive,4.0
S1,Capitation reweighting only,G4,Consumer access pathway game,system_welfare,scope_flexibility,0.1677,0.1677,positive,5.0
S1,Capitation reweighting only,G5,PHO intermediation game,system_welfare,direct_claiming,0.6517,0.6517,positive,1.0
S1,Capitation reweighting only,G5,PHO intermediation game,system_welfare,pho_transaction_cost,-0.4214,0.4214,negative,2.0
S1,Capitation reweighting only,G5,PHO intermediation game,system_welfare,marginal_contact_benefit,0.4158,0.4158,positive,3.0
S1,Capitation reweighting only,G5,PHO intermediation game,system_welfare,data_observability,0.341,0.341,positive,4.0
S1,Capitation reweighting only,G5,PHO intermediation game,system_welfare,equity_program_strength,0.3395,0.3395,positive,5.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,system_welfare,acc_constraint,-0.6528,0.6528,negative,1.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,system_welfare,data_observability,0.4571,0.4571,positive,2.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,system_welfare,marginal_contact_benefit,0.4372,0.4372,positive,3.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,system_welfare,acc_activity_funding,0.3636,0.3636,positive,4.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,system_welfare,direct_claiming,0.2197,0.2197,positive,5.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,system_welfare,ambulance_alternative_funding,0.8153,0.8153,positive,1.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,system_welfare,data_observability,0.3013,0.3013,positive,2.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,system_welfare,safety_governance,0.2768,0.2768,positive,3.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,system_welfare,primary_kpi_salience,0.2713,0.2713,positive,4.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,system_welfare,equity_program_strength,0.1915,0.1915,positive,5.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,system_welfare,scope_flexibility,0.8289,0.8289,positive,1.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,system_welfare,marginal_contact_benefit,0.3728,0.3728,positive,2.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,system_welfare,safety_governance,0.3013,0.3013,positive,3.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,system_welfare,equity_program_strength,0.156,0.156,positive,4.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,system_welfare,gaming_controls,0.1406,0.1406,positive,5.0
