game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
G7,Ambulance conveyance game,hospital_pressure,narrative_coherence,-0.8268,0.8268,negative,3.0
G7,Ambulance conveyance game,hospital_pressure,primary_kpi_salience,-0.8233,0.8233,negative,4.0
G7,Ambulance conveyance game,hospital_pressure,ambulance_kpi_salience,-0.8229,0.8229,negative,5.0
G7,Ambulance conveyance game,hospital_pressure,local_inperson_loading,-0.8035,0.8035,negative,6.0
G7,Ambulance conveyance game,hospital_pressure,telehealth_integration,-0.7646,0.7646,negative,7.0
G7,Ambulance conveyance game,hospital_pressure,stakeholder_alignment,-0.733,0.733,negative,8.0
G8,Scope-of-practice supply game,hospital_pressure,primary_kpi_salience,-0.8781,0.8781,negative,1.0
G8,Scope-of-practice supply game,hospital_pressure,ambulance_alternative_funding,-0.8691,0.8691,negative,2.0
G8,Scope-of-practice supply game,hospital_pressure,marginal_contact_benefit,-0.863,0.863,negative,3.0
G8,Scope-of-practice supply game,hospital_pressure,ambulance_kpi_salience,-0.8554,0.8554,negative,4.0
G8,Scope-of-practice supply game,hospital_pressure,scope_flexibility,-0.8537,0.8537,negative,5.0
G8,Scope-of-practice supply game,hospital_pressure,direct_claiming,-0.8513,0.8513,negative,6.0
G8,Scope-of-practice supply game,hospital_pressure,data_observability,-0.8162,0.8162,negative,7.0
G8,Scope-of-practice supply game,hospital_pressure,pho_transaction_cost,0.7946,0.7946,positive,8.0
G9,Telehealth/local-supply game,hospital_pressure,data_observability,-0.9114,0.9114,negative,1.0
G9,Telehealth/local-supply game,hospital_pressure,local_inperson_loading,-0.9069,0.9069,negative,2.0
G9,Telehealth/local-supply game,hospital_pressure,narrative_coherence,-0.9031,0.9031,negative,3.0
G9,Telehealth/local-supply game,hospital_pressure,telehealth_integration,-0.8836,0.8836,negative,4.0
G9,Telehealth/local-supply game,hospital_pressure,stakeholder_alignment,-0.8087,0.8087,negative,5.0
G9,Telehealth/local-supply game,hospital_pressure,copayment_protections,-0.8031,0.8031,negative,6.0
G9,Telehealth/local-supply game,hospital_pressure,ambulance_alternative_funding,-0.7979,0.7979,negative,7.0
G9,Telehealth/local-supply game,hospital_pressure,primary_kpi_salience,-0.7976,0.7976,negative,8.0
