scenario_id,scenario_name,game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
S1,Capitation reweighting only,G5,PHO intermediation game,hospital_pressure,marginal_contact_benefit,-0.309,0.309,negative,3.0
S1,Capitation reweighting only,G5,PHO intermediation game,hospital_pressure,equity_program_strength,-0.2006,0.2006,negative,4.0
S1,Capitation reweighting only,G5,PHO intermediation game,hospital_pressure,data_observability,-0.1228,0.1228,negative,5.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,hospital_pressure,acc_constraint,0.7745,0.7745,positive,1.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,hospital_pressure,marginal_contact_benefit,-0.4215,0.4215,negative,2.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,hospital_pressure,acc_activity_funding,-0.3706,0.3706,negative,3.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,hospital_pressure,data_observability,-0.2406,0.2406,negative,4.0
S1,Capitation reweighting only,G6,ACC/Health NZ cross-funder game,hospital_pressure,direct_claiming,-0.1694,0.1694,negative,5.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,hospital_pressure,ambulance_alternative_funding,-0.946,0.946,negative,1.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,hospital_pressure,safety_governance,-0.2365,0.2365,negative,2.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,hospital_pressure,ambulance_kpi_salience,-0.1552,0.1552,negative,3.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,hospital_pressure,data_observability,-0.1104,0.1104,negative,4.0
S1,Capitation reweighting only,G7,Ambulance conveyance game,hospital_pressure,acc_activity_funding,0.0791,0.0791,positive,5.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,hospital_pressure,scope_flexibility,-0.8685,0.8685,negative,1.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,hospital_pressure,marginal_contact_benefit,-0.3536,0.3536,negative,2.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,hospital_pressure,safety_governance,-0.3162,0.3162,negative,3.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,hospital_pressure,copayment_protections,0.0612,0.0612,positive,4.0
S1,Capitation reweighting only,G8,Scope-of-practice supply game,hospital_pressure,telehealth_scale,0.0517,0.0517,positive,5.0
S1,Capitation reweighting only,G9,Telehealth/local-supply game,hospital_pressure,telehealth_integration,-0.739,0.739,negative,1.0
S1,Capitation reweighting only,G9,Telehealth/local-supply game,hospital_pressure,local_inperson_loading,-0.4573,0.4573,negative,2.0
S1,Capitation reweighting only,G9,Telehealth/local-supply game,hospital_pressure,marginal_contact_benefit,-0.4051,0.4051,negative,3.0
S1,Capitation reweighting only,G9,Telehealth/local-supply game,hospital_pressure,data_observability,-0.2714,0.2714,negative,4.0
S1,Capitation reweighting only,G9,Telehealth/local-supply game,hospital_pressure,telehealth_scale,0.1852,0.1852,positive,5.0
S2,Primary Care Benefits Schedule,G1,Hospital-salience budget game,hospital_pressure,hospital_political_penalty,0.6337,0.6337,positive,1.0
S2,Primary Care Benefits Schedule,G1,Hospital-salience budget game,hospital_pressure,marginal_contact_benefit,-0.6018,0.6018,negative,2.0
S2,Primary Care Benefits Schedule,G1,Hospital-salience budget game,hospital_pressure,primary_kpi_salience,-0.3515,0.3515,negative,3.0
S2,Primary Care Benefits Schedule,G1,Hospital-salience budget game,hospital_pressure,ambulance_kpi_salience,-0.2343,0.2343,negative,4.0
S2,Primary Care Benefits Schedule,G1,Hospital-salience budget game,hospital_pressure,data_observability,-0.213,0.213,negative,5.0
S2,Primary Care Benefits Schedule,G10,Co-payment calibration game,hospital_pressure,copayment_level,0.7087,0.7087,positive,1.0
S2,Primary Care Benefits Schedule,G10,Co-payment calibration game,hospital_pressure,copayment_protections,-0.5013,0.5013,negative,2.0
S2,Primary Care Benefits Schedule,G10,Co-payment calibration game,hospital_pressure,marginal_contact_benefit,-0.4674,0.4674,negative,3.0
S2,Primary Care Benefits Schedule,G10,Co-payment calibration game,hospital_pressure,safety_governance,-0.0651,0.0651,negative,4.0
S2,Primary Care Benefits Schedule,G10,Co-payment calibration game,hospital_pressure,scope_flexibility,0.048,0.048,positive,5.0
S2,Primary Care Benefits Schedule,G11,KPI salience game,hospital_pressure,primary_kpi_salience,-0.6484,0.6484,negative,1.0
S2,Primary Care Benefits Schedule,G11,KPI salience game,hospital_pressure,marginal_contact_benefit,-0.6067,0.6067,negative,2.0
S2,Primary Care Benefits Schedule,G11,KPI salience game,hospital_pressure,ambulance_kpi_salience,-0.4215,0.4215,negative,3.0
S2,Primary Care Benefits Schedule,G11,KPI salience game,hospital_pressure,gaming_controls,-0.2097,0.2097,negative,4.0
S2,Primary Care Benefits Schedule,G11,KPI salience game,hospital_pressure,data_observability,-0.1317,0.1317,negative,5.0
S2,Primary Care Benefits Schedule,G12,Equity and trust game,hospital_pressure,marginal_contact_benefit,-0.765,0.765,negative,1.0
S2,Primary Care Benefits Schedule,G12,Equity and trust game,hospital_pressure,equity_program_strength,-0.5482,0.5482,negative,2.0
