base_scenario_id,parameter,domain,direction,baseline_value,perturbed_value,hybrid_viability_change,hospital_pressure_change,access_change,fiscal_risk_change,abs_viability_change
F4,direct_claiming_strength,admin/payment,up,0.76,0.84,0.12571453439998992,-0.07106175999999076,0.24639999999997997,-0.015079680000001927,0.12571453439998992
F4,direct_claiming_strength,admin/payment,down,0.76,0.68,-0.12571453439998992,0.07106176000000186,-0.24640000000000217,0.015079680000001927,0.12571453439998992
F4,pharmacist_capacity_index,supply/scope,down,0.58,0.49999999999999994,-0.11522441215999768,0.0919920640000016,-0.16895999999999578,0.0402923519999987,0.11522441215999768
F4,pharmacist_capacity_index,supply/scope,up,0.58,0.6599999999999999,0.11522441215999768,-0.09199206399999049,0.16895999999999578,-0.0402923519999987,0.11522441215999768
F4,ambulance_kpi_salience,accountability,up,0.76,0.84,0.11030655999999528,-0.2558239999999934,0.11999999999998678,-0.09403199999999945,0.11030655999999528
F4,ambulance_kpi_salience,accountability,down,0.76,0.68,-0.11030655999999528,0.2558240000000045,-0.12000000000000899,0.09403199999999945,0.11030655999999528
F4,acc_activity_strength,ACC/funding,down,0.55,0.47000000000000003,-0.1077553151999977,0.06091007999999842,-0.21120000000001138,0.012925440000000066,0.1077553151999977
F4,acc_activity_strength,ACC/funding,up,0.55,0.63,0.1077553151999977,-0.06091007999999842,0.21119999999998917,-0.012925440000000066,0.1077553151999977
F4,allied_health_capacity_index,supply/scope,up,0.54,0.62,0.10082136063999103,-0.08049305599999723,0.14783999999998798,-0.03525580800000094,0.10082136063999103
F4,allied_health_capacity_index,supply/scope,down,0.54,0.46,-0.10082136063999103,0.08049305600000833,-0.14784000000001019,0.03525580800000094,0.10082136063999103
F4,paramedic_alt_capacity_index,supply/ambulance,down,0.62,0.54,-0.09361983487999881,0.0747435520000117,-0.1372800000000174,0.03273753599999929,0.09361983487999881
F4,paramedic_alt_capacity_index,supply/ambulance,up,0.62,0.7,0.0936198348799877,-0.0747435520000006,0.13727999999999518,-0.03273753599999929,0.0936198348799877
F4,ambulance_conveyance_default,ambulance,down,0.45,0.37,0.09179328000000764,-0.2739119999999984,0.18000000000000238,-0.06501600000000107,0.09179328000000764
F4,ambulance_conveyance_default,ambulance,up,0.45,0.53,-0.09179327999999654,0.2739120000000095,-0.18000000000000238,0.06501600000000107,0.09179327999999654
F4,global_cap_constraint,fiscal,down,0.1,0.020000000000000004,0.08999219199999908,-0.10151680000000107,0.35199999999999676,1.0984575999999968,0.08999219199999908
F4,global_cap_constraint,fiscal,up,0.1,0.18,-0.08999219199998798,0.10151680000000107,-0.35199999999999676,-1.0984575999999968,0.08999219199998798
F4,data_observability_ambulance,data,down,0.78,0.7000000000000001,-0.08798335999999907,0.2225440000000023,-0.12000000000000899,0.07099200000000305,0.08798335999999907
